cliente,total_pedidos,valor_total,ticket_medio,primeira_compra,ultima_compra
SUPERMERCADO FLORENTINO,446,48724.94,109.25,2026-02-01 00:00:00,2026-02-01 00:00:00
COMERCIAL MENDES,265,48722.42,183.86,2026-02-01 00:00:00,2026-02-01 00:00:00
ARM E BAR FLOR DA POSSE L2 FELICIANO SODRE,310,48714.7,157.14,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PRECO CERTO,636,48700.05,76.57,2026-02-01 00:00:00,2026-02-01 00:00:00
SUP MAXIDEAL LJ1,358,48698.68,136.03,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER COMPRAS CAMPO GRANDE,187,48689.27,260.37,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO NOEL SAO TOME LJ1,270,48684.96,180.31,2026-02-01 00:00:00,2026-02-01 00:00:00
VILA MAIS SUPERMERCADOS LOJA 3,274,48676.64,177.65,2026-02-01 00:00:00,2026-02-01 00:00:00
KELVE SUPERMERCADO 9,398,48657.25,122.25,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO KUNZ 2,334,48652.6,145.67,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO DA PRACA 11,305,48649.41,159.51,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO KI BARATO LJ3,397,48641.84,122.52,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO POPULAR LJ8,395,48636.96,123.13,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO RAMPANI,354,48620.15,137.35,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PAULISTA LJ 5,221,48602.12,219.92,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CENTRAL LJ 2,254,48588.55,191.29,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER NORBERTO LJ1,222,48569.3,218.78,2026-02-01 00:00:00,2026-02-01 00:00:00
ATACAREJU BAU,262,48537.72,185.26,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS PASSADOR,275,48534.46,176.49,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO DA PRACA LJ1,261,48534.06,185.95,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PRECO BOM LJ3,512,48508.71,94.74,2026-02-01 00:00:00,2026-02-01 00:00:00
HORT FRUT E ACOUGUE ORIENTE,197,48490.72,246.15,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO COLOMBO,482,48469.34,100.56,2026-02-01 00:00:00,2026-02-01 00:00:00
COOPERATIVA REGIONAL ITAIPU LJ02,193,48463.9,251.11,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CAIQUE 01,318,48454.34,152.37,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PECANHA LJ2,213,48452.5,227.48,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS CORREIA LJ3,362,48433.05,133.79,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER LEVELUCRE LJ54,286,48426.67,169.32,2026-02-01 00:00:00,2026-02-01 00:00:00
REDE MULTI MARKET PEROLA DO SAO JOSE,202,48421.46,239.71,2026-02-01 00:00:00,2026-02-01 00:00:00
LOJAO DO REAL SUPERMERCADOS 13,341,48413.29,141.97,2026-02-01 00:00:00,2026-02-01 00:00:00
MEU VIZINHO SUPERMERCADOS LJ6,341,48390.76,141.91,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO J A LJ 3,242,48389.54,199.96,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMARCADO SANTOS,275,48388.98,175.96,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO J C,587,48380.87,82.42,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER PRATICO LJ1 SUARAO,277,48373.5,174.63,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO DO GASTAO,389,48366.06,124.33,2026-02-01 00:00:00,2026-02-01 00:00:00
O GONZAGAO,393,48357.86,123.05,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ALTO GIRO LJ2,410,48351.93,117.93,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO JULIA,338,48345.71,143.03,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER COUTO 6,315,48343.74,153.47,2026-02-01 00:00:00,2026-02-01 00:00:00
COOPERJA SUPERMERCADO JM LJ3,238,48339.61,203.11,2026-02-01 00:00:00,2026-02-01 00:00:00
VAREJAO MANTIQUEIRA,243,48330.46,198.89,2026-02-01 00:00:00,2026-02-01 00:00:00
MEG SUPERMERCADO,512,48324.98,94.38,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS JORGE TIRCO LJ1,337,48321.56,143.39,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MASCATIM,199,48312.57,242.78,2026-02-01 00:00:00,2026-02-01 00:00:00
MM SUPERMERCADO LJ1,298,48307.43,162.11,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ZARGON LJ3,308,48295.61,156.8,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BONANCA,303,48290.47,159.37,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO CAPELA,243,48289.89,198.72,2026-02-01 00:00:00,2026-02-01 00:00:00
REDE SMART SAN MARTINS,283,48257.38,170.52,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS ZORNITTA LJ6,278,48240.7,173.53,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO COMAC LJ1,183,48218.36,263.49,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PRESTIGIO,352,48216.78,136.98,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO ALBUQUERQUE LJ2,313,48210.95,154.03,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO CARDOSO,476,48204.72,101.27,2026-02-01 00:00:00,2026-02-01 00:00:00
VILA 12 SAUDE,281,48198.01,171.52,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO TIAOZINHO 10,347,48184.83,138.86,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO O BUDEGAO,433,48180.77,111.27,2026-02-01 00:00:00,2026-02-01 00:00:00
NOVO CORDEIRO,463,48177.31,104.05,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MOMBACH MONTENEGRO,218,48165.63,220.94,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMER SAO LUIZ,376,48164.82,128.1,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO DO PAPAI LOJA II,346,48158.37,139.19,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CS FERNANDES,314,48156.34,153.36,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO VILA RICA LJ4,239,48154.85,201.48,2026-02-01 00:00:00,2026-02-01 00:00:00
NOSSA KAZA SUPERMERCADOS 17,245,48143.46,196.5,2026-02-01 00:00:00,2026-02-01 00:00:00
O FILEZAO,446,48131.78,107.92,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO AZM 1,313,48120.64,153.74,2026-02-01 00:00:00,2026-02-01 00:00:00
COMERCIAL ELSHADAY,335,48112.79,143.62,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SANTOS 2,465,48099.25,103.44,2026-02-01 00:00:00,2026-02-01 00:00:00
COMPRE FACIL J A,363,48086.37,132.47,2026-02-01 00:00:00,2026-02-01 00:00:00
BOM RANCHO SUPERMERCADO 01,387,48075.96,124.23,2026-02-01 00:00:00,2026-02-01 00:00:00
PONTO QUENTE,290,48063.29,165.74,2026-02-01 00:00:00,2026-02-01 00:00:00
MANZINI SUPERMERCADOS CONJ HAB HUMBERTO POPOLO,227,48056.9,211.7,2026-02-01 00:00:00,2026-02-01 00:00:00
COOPERATIVA REGIONAL ITAIPU LJ01,271,48054.79,177.32,2026-02-01 00:00:00,2026-02-01 00:00:00
CENTER SHOP LJ1,153,48014.4,313.82,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ANDRADE LJ1,408,48002.51,117.65,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO LITORAL,223,47984.42,215.18,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO LUA NOVA,360,47983.16,133.29,2026-02-01 00:00:00,2026-02-01 00:00:00
Q LUZ SUPERMERCADOS 5,355,47951.37,135.07,2026-02-01 00:00:00,2026-02-01 00:00:00
IRMAOS LINKE LOJA 2,347,47942.48,138.16,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ATRATIVO,397,47925.9,120.72,2026-02-01 00:00:00,2026-02-01 00:00:00
TRIANGULO SUPERMERCADOS LJ3,315,47923.01,152.14,2026-02-01 00:00:00,2026-02-01 00:00:00
DAL SANTOS EXPRESS SUPERMERCADO,405,47918.76,118.32,2026-02-01 00:00:00,2026-02-01 00:00:00
JOSIANE DO NASCIMENTO CRUZ LIMA,286,47895.64,167.47,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO E PADARIA GAROTO,291,47859.95,164.47,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ESTELA JESUITAS,327,47845.24,146.32,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO LEAO ARCOS,376,47816.28,127.17,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO KIBOCADA LJ 3,265,47812.52,180.42,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO NOSSA SENHORA APARECIDA LJ1,330,47798.92,144.85,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO PEG E PAGUE,427,47788.68,111.92,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BEIRA RIO LJ1,389,47783.66,122.84,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO O BARATAO 1,323,47775.24,147.91,2026-02-01 00:00:00,2026-02-01 00:00:00
COMERCIAL UNIAO,325,47758.08,146.95,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO JOSE UNIDADES SANTA CLARA,433,47738.36,110.25,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO NORTAO,294,47728.6,162.34,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS BAZANA LJ300,269,47710.3,177.36,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERLAR 3,310,47705.25,153.89,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO DIONISIO LJ2,483,47704.75,98.77,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO FERREIRA 1,275,47695.5,173.44,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS SANTTA TEREZINNHA,330,47671.27,144.46,2026-02-01 00:00:00,2026-02-01 00:00:00
BUONA GENTE LJ2,478,47665.12,99.72,2026-02-01 00:00:00,2026-02-01 00:00:00
DOCA LJ4,401,47664.54,118.86,2026-02-01 00:00:00,2026-02-01 00:00:00
RB SUPERMERCADOS LJ1,352,47663.81,135.41,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ARANTES,361,47659.92,132.02,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BOZA 5,480,47656.33,99.28,2026-02-01 00:00:00,2026-02-01 00:00:00
OPCAO SUPERMERCADO 2,283,47627.55,168.3,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MUNDO NOVO,321,47615.07,148.33,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO PREDILETO,517,47599.47,92.07,2026-02-01 00:00:00,2026-02-01 00:00:00
HORTIFRUTI NOVA TATUAPE,242,47596.94,196.68,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO BRUNO,390,47589.75,122.03,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO SUPER MEU,388,47573.44,122.61,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER PRECO BAIXO LJ3,412,47553.06,115.42,2026-02-01 00:00:00,2026-02-01 00:00:00
BOM MIX SUPERMERCADOS LJ 03,309,47529.05,153.82,2026-02-01 00:00:00,2026-02-01 00:00:00
CASA DOS CEREAIS LJ02,352,47527.51,135.02,2026-02-01 00:00:00,2026-02-01 00:00:00
PERUZZO SUPERMERCADOS F 1019 DEMETRIO,357,47524.74,133.12,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER LEO 02,297,47519.42,160.0,2026-02-01 00:00:00,2026-02-01 00:00:00
SMART BARATEIRO,254,47512.65,187.06,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO DO DANILO,290,47504.91,163.81,2026-02-01 00:00:00,2026-02-01 00:00:00
ATACADO PINDAIBA,201,47501.41,236.33,2026-02-01 00:00:00,2026-02-01 00:00:00
SUP OLIVEIRA LJ3,304,47496.06,156.24,2026-02-01 00:00:00,2026-02-01 00:00:00
CASA SANTANA,191,47479.18,248.58,2026-02-01 00:00:00,2026-02-01 00:00:00
REDE ECONOMICA COXIM LJ03,447,47474.32,106.21,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO D ITALIA,322,47472.67,147.43,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PLANALTO I,471,47467.03,100.78,2026-02-01 00:00:00,2026-02-01 00:00:00
O2Z SUPERMERCADOS,317,47465.36,149.73,2026-02-01 00:00:00,2026-02-01 00:00:00
SAO JOAO SUPERMERCADOS SANTA CRUZ LJ3,318,47460.67,149.25,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO FLUMINENSE 43,327,47434.22,145.06,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS KERN LJ102,339,47424.48,139.9,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO SALES,186,47411.41,254.9,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO IDEAAL,339,47409.01,139.85,2026-02-01 00:00:00,2026-02-01 00:00:00
CEREALISTA SAO RAFAEL LJ1,363,47397.05,130.57,2026-02-01 00:00:00,2026-02-01 00:00:00
SUP SAO JERONIMO LJ9,343,47397.01,138.18,2026-02-01 00:00:00,2026-02-01 00:00:00
BOM PRECO SUPERMERCADOS,271,47388.18,174.86,2026-02-01 00:00:00,2026-02-01 00:00:00
LEGAL SUPERMERCADOS L7,257,47383.86,184.37,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PARANAIBA MARIA HELENA,348,47376.14,136.14,2026-02-01 00:00:00,2026-02-01 00:00:00
PEG E PAG AVENIDA,264,47370.29,179.43,2026-02-01 00:00:00,2026-02-01 00:00:00
NOVO MERCADAO BARBOSA,374,47364.59,126.64,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO SANTA LUZIA,316,47337.02,149.8,2026-02-01 00:00:00,2026-02-01 00:00:00
SOMAR SUPERMECADOS,172,47328.01,275.16,2026-02-01 00:00:00,2026-02-01 00:00:00
C A NUNES SUPERMERCADO LJ2,285,47316.92,166.02,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER COMPRAS SANTA CRUZ LJ4,196,47314.66,241.4,2026-02-01 00:00:00,2026-02-01 00:00:00
SANDRO SUPERMERCADOS,334,47301.64,141.62,2026-02-01 00:00:00,2026-02-01 00:00:00
SILVA E SILVA,171,47292.6,276.56,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO DO JOCA,445,47289.52,106.27,2026-02-01 00:00:00,2026-02-01 00:00:00
MAIOLINI SUPERMERCADOS,403,47286.29,117.34,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MANO A MANO,442,47277.25,106.96,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO FLUMINENSE 11,392,47270.24,120.59,2026-02-01 00:00:00,2026-02-01 00:00:00
HORTISUL,321,47264.87,147.24,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO FANTE LJ2,266,47244.73,177.61,2026-02-01 00:00:00,2026-02-01 00:00:00
O VENDAO,278,47220.89,169.86,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER DOIS IRMAOS IPU LJ1,370,47213.7,127.6,2026-02-01 00:00:00,2026-02-01 00:00:00
MARQUINHO SUPERMERCADO,250,47210.35,188.84,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SUPERSERRA,214,47205.69,220.59,2026-02-01 00:00:00,2026-02-01 00:00:00
FORT PIRAJA NOVO LAR,219,47202.74,215.54,2026-02-01 00:00:00,2026-02-01 00:00:00
BIG ATIBAIA LJ3,264,47197.4,178.78,2026-02-01 00:00:00,2026-02-01 00:00:00
MOURA SUPERMERCADOS 4,270,47188.2,174.77,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO DA PRACA 33,403,47181.54,117.08,2026-02-01 00:00:00,2026-02-01 00:00:00
BARRETO SUPERMERCADO,244,47176.07,193.34,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS RONDELLI 124,318,47174.34,148.35,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ROBERTO LJ 1,233,47157.96,202.39,2026-02-01 00:00:00,2026-02-01 00:00:00
GCENTER SUPERMERCADO LJ22,379,47154.19,124.42,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO IDEAL DE PACIENCIA,201,47125.31,234.45,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO JOSE LJ01,247,47125.04,190.79,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER LEMOS,387,47123.22,121.77,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO COMPRE BEM,727,47119.09,64.81,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER MERCADINHO ECONOMICO LJ1,422,47108.24,111.63,2026-02-01 00:00:00,2026-02-01 00:00:00
REDE SUPER BOM SUPERMERCADOS 1,316,47088.68,149.01,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPCOTRIEL ESTRELA VELHA 14,243,47076.62,193.73,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO LIDER COROMANDEL,356,47055.84,132.18,2026-02-01 00:00:00,2026-02-01 00:00:00
BIG OFERTA,326,47043.61,144.31,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PRIMICIAS,390,47031.29,120.59,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO GUMZ LJ1,272,47015.58,172.85,2026-02-01 00:00:00,2026-02-01 00:00:00
5 ESTRELAS BEBERIBE,190,46992.7,247.33,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SIMOES LJ1,287,46966.36,163.65,2026-02-01 00:00:00,2026-02-01 00:00:00
SERTOP LJ3,250,46949.49,187.8,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO E SACOLAO DA ECONOMIA LJ3,329,46947.35,142.7,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SILVESTRE LJ3,251,46945.95,187.04,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO TAI MAX LJ3,339,46936.4,138.46,2026-02-01 00:00:00,2026-02-01 00:00:00
PAYOL SUPERMERCADO LJ1,230,46935.92,204.07,2026-02-01 00:00:00,2026-02-01 00:00:00
MAXIMO SUPERMERCADO,226,46922.97,207.62,2026-02-01 00:00:00,2026-02-01 00:00:00
LEMON SUPER LJ 3,199,46913.51,235.75,2026-02-01 00:00:00,2026-02-01 00:00:00
MIX CENTER LJ7,275,46898.22,170.54,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO AMORA,312,46891.84,150.29,2026-02-01 00:00:00,2026-02-01 00:00:00
CENTERMASTERSUL LJ5,407,46886.96,115.2,2026-02-01 00:00:00,2026-02-01 00:00:00
SERVE BEM MAX LJ1,439,46881.44,106.79,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO BRASILIA LJ12,268,46874.8,174.91,2026-02-01 00:00:00,2026-02-01 00:00:00
ADELAIDE BONAFE ALBARELLO,391,46869.38,119.87,2026-02-01 00:00:00,2026-02-01 00:00:00
COMPREMAIS LJ1,261,46866.5,179.57,2026-02-01 00:00:00,2026-02-01 00:00:00
AGRO COMERCIAL KAMMER LJ2,320,46862.24,146.44,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SANTA MARTA LJ01,368,46857.64,127.33,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SAO JOAO LJ3,442,46831.75,105.95,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ZICO,319,46830.54,146.8,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PIRES CAFEZAIS LJ09,278,46822.59,168.43,2026-02-01 00:00:00,2026-02-01 00:00:00
PESSANHA SUPERMERCADOS,428,46803.35,109.35,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO DO LICO,280,46787.0,167.1,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS MYATA LJ 9,487,46772.63,96.04,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO VITORIA LJ3,365,46767.8,128.13,2026-02-01 00:00:00,2026-02-01 00:00:00
COLETTA REDE STAR,292,46767.18,160.16,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ROPECA,315,46761.88,148.45,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER SETE 7,400,46756.56,116.89,2026-02-01 00:00:00,2026-02-01 00:00:00
MACROBALA LJ2,280,46751.67,166.97,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO C G LJ1,267,46747.67,175.08,2026-02-01 00:00:00,2026-02-01 00:00:00
ATACADAO PREMIUM,404,46733.4,115.68,2026-02-01 00:00:00,2026-02-01 00:00:00
BOM LUGAR SIQUEIRA,301,46688.08,155.11,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMAIS SUPERMERCADO LJ3,201,46687.35,232.28,2026-02-01 00:00:00,2026-02-01 00:00:00
COLONIAL SUPERMERCADO LJ3,344,46686.57,135.72,2026-02-01 00:00:00,2026-02-01 00:00:00
SUP DAMASCO LJ 2,477,46665.26,97.83,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MELLO,577,46660.48,80.87,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SANT ANA,453,46644.96,102.97,2026-02-01 00:00:00,2026-02-01 00:00:00
IZZO SUPERMERCADO,311,46625.86,149.92,2026-02-01 00:00:00,2026-02-01 00:00:00
MERC DA ECONOMIA CRISTALINA,348,46606.95,133.93,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO UNIVERSO LJ4,394,46596.14,118.26,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO ROSARIO,296,46593.37,157.41,2026-02-01 00:00:00,2026-02-01 00:00:00
SUP IRMAOS PEDROSA LJ01,290,46590.53,160.66,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO MAXBOM 1,310,46589.68,150.29,2026-02-01 00:00:00,2026-02-01 00:00:00
COMERCIAL DE ALIMENTOS SUPERBOM 11,252,46588.28,184.87,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO FOSCARINI,588,46564.89,79.19,2026-02-01 00:00:00,2026-02-01 00:00:00
MIRASSOL SUP JANDIRA 5,236,46562.49,197.3,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO SILVANO,419,46558.01,111.12,2026-02-01 00:00:00,2026-02-01 00:00:00
VIZINHO SUPERMERCADOS LJ 2,249,46555.61,186.97,2026-02-01 00:00:00,2026-02-01 00:00:00
GRUPO ALVES,420,46552.71,110.84,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER POP,600,46548.41,77.58,2026-02-01 00:00:00,2026-02-01 00:00:00
CEREALISTA OLIVEIRA ATACADO LJ 1,316,46538.11,147.27,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO AVENIDA 1,403,46533.39,115.47,2026-02-01 00:00:00,2026-02-01 00:00:00
SEVAN SUPERMERCADOS 1,280,46508.76,166.1,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO COMAX 1,354,46505.06,131.37,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO PONTO CHIC,257,46503.69,180.95,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERNETO SUPERMERCADO LJ1,459,46499.0,101.31,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO TROPICAL LJ2,225,46488.81,206.62,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADINHO DO ENIO,366,46448.12,126.91,2026-02-01 00:00:00,2026-02-01 00:00:00
COMPANHIA DO ALIMENTO HI,286,46422.18,162.32,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS COROADOS,448,46420.03,103.62,2026-02-01 00:00:00,2026-02-01 00:00:00
AVENIDA SUPERMERCADO LJ1,301,46412.99,154.2,2026-02-01 00:00:00,2026-02-01 00:00:00
GDL SUPERMERCADO,309,46406.02,150.18,2026-02-01 00:00:00,2026-02-01 00:00:00
COMERCIAL RIQUELME,255,46395.5,181.94,2026-02-01 00:00:00,2026-02-01 00:00:00
QUARTETTO SUPERMERCADOS LJ15,377,46377.87,123.02,2026-02-01 00:00:00,2026-02-01 00:00:00
REDE LAR LJ 2,430,46363.66,107.82,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO DIVISAO LJ1,406,46341.93,114.14,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER MANANCIAL,307,46335.84,150.93,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER PRATICO,278,46316.7,166.61,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO LISANDRA LJ2,283,46311.17,163.64,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER MARISTA,419,46277.4,110.45,2026-02-01 00:00:00,2026-02-01 00:00:00
O CESTAO FORENE LJ2,408,46273.26,113.41,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO BELEM VELHO LJ1,241,46261.54,191.96,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO AURORA,331,46251.21,139.73,2026-02-01 00:00:00,2026-02-01 00:00:00
S VIERA LJ1,235,46236.36,196.75,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO RICARDO,338,46225.73,136.76,2026-02-01 00:00:00,2026-02-01 00:00:00
MELO SUPERMERCADO,592,46221.31,78.08,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO CASARAO 3,383,46208.47,120.65,2026-02-01 00:00:00,2026-02-01 00:00:00
FARIA SUPERMERCADOS LJ1,294,46202.34,157.15,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS TISCHLER LJ14,362,46199.98,127.62,2026-02-01 00:00:00,2026-02-01 00:00:00
DAL SANTOS OZORIO,377,46197.77,122.54,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS RONDELLI ATACADO RONDELLI 139,306,46197.03,150.97,2026-02-01 00:00:00,2026-02-01 00:00:00
MERCADO DUCIDO,354,46185.87,130.47,2026-02-01 00:00:00,2026-02-01 00:00:00
ATACADO RELUZ,378,46184.22,122.18,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER ZAT LJ 1,265,46180.87,174.27,2026-02-01 00:00:00,2026-02-01 00:00:00
